county,county_type,region_group,metro_area,priority,source_url,notes
statewide_unallocated,statewide,statewide,statewide,1,https://www.sos.state.tx.us/elections/,"Placeholder row used until county-level candidate results are imported."
Harris,urban,Houston,Houston,1,https://www.sos.state.tx.us/elections/,"High-priority county for runoff retention and early-vote comparison."
Dallas,urban,DFW,Dallas-Fort Worth,1,https://www.sos.state.tx.us/elections/,"High-priority county for runoff retention and early-vote comparison."
Tarrant,suburban,DFW,Dallas-Fort Worth,1,https://www.sos.state.tx.us/elections/,"High-priority county for runoff retention and early-vote comparison."
Bexar,urban,Austin/San Antonio,San Antonio,1,https://www.sos.state.tx.us/elections/,"High-priority county for runoff retention and early-vote comparison."
Travis,urban,Austin/San Antonio,Austin,1,https://www.sos.state.tx.us/elections/,"High-priority county for runoff retention and early-vote comparison."
Collin,suburban,DFW,Dallas-Fort Worth,1,https://www.sos.state.tx.us/elections/,"Fast-growth suburban GOP county."
Denton,suburban,DFW,Dallas-Fort Worth,1,https://www.sos.state.tx.us/elections/,"Fast-growth suburban GOP county."
Fort Bend,suburban,Houston,Houston,1,https://www.sos.state.tx.us/elections/,"Houston-area suburban county."
Montgomery,suburban,Houston,Houston,1,https://www.sos.state.tx.us/elections/,"High-propensity Republican county in the Houston media market."
Hidalgo,border,Border,Rio Grande Valley,1,https://www.sos.state.tx.us/elections/,"Border county for regional turnout checks."
El Paso,border,Border,El Paso,1,https://www.sos.state.tx.us/elections/,"Border/West Texas county for regional turnout checks."
Lubbock,urban,West Texas,Lubbock,2,https://www.sos.state.tx.us/elections/,"West Texas anchor county."
Smith,rural,East Texas,Tyler,2,https://www.sos.state.tx.us/elections/,"East Texas GOP county."
Midland,urban,West Texas,Midland-Odessa,2,https://www.sos.state.tx.us/elections/,"West Texas energy-region county."
Ector,urban,West Texas,Midland-Odessa,2,https://www.sos.state.tx.us/elections/,"West Texas energy-region county."
Nueces,urban,Border,Corpus Christi,2,https://www.sos.state.tx.us/elections/,"Coastal South Texas county."
Brazoria,suburban,Houston,Houston,2,https://www.sos.state.tx.us/elections/,"Houston-area suburban county."
