platform,contract,timestamp,paxton_bid,paxton_ask,paxton_last,paxton_implied_prob,cornyn_bid,cornyn_ask,cornyn_last,cornyn_implied_prob,other_implied_prob,volume,liquidity,fee_assumption_pct,source_url,settlement_notes,notes,paxton_mid,cornyn_mid,paxton_market_prob,cornyn_market_prob,normalized_paxton_prob,normalized_cornyn_prob,normalized_other_prob,paxton_spread,cornyn_spread,average_spread,days_stale,stale_price_flag,liquidity_warning,settlement_warning,last_updated
Kalshi,Texas Republican Senate nominee,2026-03-04 12:00:00,,,,0.55,,,,0.45,0.0,,,0.01,https://kalshi.com/,Settles on official Republican nominee result; verify contract wording before use.,Snapshot from public market reference.,,,0.55,0.45,0.55,0.45,0.0,,,,74,True,liquidity_unknown,verify_contract_terms,2026-05-18
Kalshi,Texas Republican Senate nominee,2026-03-14 12:00:00,,,,0.55,,,,0.45,0.0,,,0.01,https://kalshi.com/,Settles on official Republican nominee result; verify contract wording before use.,Snapshot from public market reference.,,,0.55,0.45,0.55,0.45,0.0,,,,64,True,liquidity_unknown,verify_contract_terms,2026-05-18
Polymarket,Texas Republican Senate nominee,2026-03-14 12:00:00,,,,0.39,,,,0.61,0.0,,,0.02,https://polymarket.com/,Verify market resolution source and eligibility restrictions before use.,Snapshot from public market reference.,,,0.39,0.61,0.39,0.61,0.0,,,,64,True,liquidity_unknown,verify_contract_terms,2026-05-18
Polymarket,Texas Republican Senate nominee,2026-04-18 12:00:00,,,,0.6,,,,0.4,0.0,,,0.02,https://polymarket.com/,Verify market resolution source and eligibility restrictions before use.,Snapshot from public market reference.,,,0.6,0.4,0.6,0.4,0.0,,,,29,True,liquidity_unknown,verify_contract_terms,2026-05-18
Covers,Texas Republican Senate nominee,2026-05-01 12:00:00,,,,0.59,,,,0.41,0.0,,,0.02,https://www.covers.com/,Odds/implied probability reference only; verify underlying book or market before use.,Reported Paxton around 59 percent implied probability.,,,0.59,0.41,0.59,0.41,0.0,,,,16,True,liquidity_unknown,verify_contract_terms,2026-05-18
Polymarket,Texas Republican Senate nominee,2026-05-03 12:00:00,,,,0.56,,,,0.42,0.02,,,0.02,https://polymarket.com/,Verify market resolution source and eligibility restrictions before use.,Public snapshot reference with residual outcome bucket.,,,0.56,0.42,0.56,0.42,0.02,,,,14,True,liquidity_unknown,verify_contract_terms,2026-05-18
Polymarket,Texas Republican Senate nominee,2026-05-09 00:02:49,0.55,0.57,0.56,,0.42,0.43,0.42,,0.001,16005277.5154743,122340.5071,0.02,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,Resolves on first announcement from Texas Republican Party or overwhelming credible reporting consensus; market is restricted and fees apply.,"Live Polymarket API snapshot: Paxton last 0.56, bid/ask 0.55/0.57; Cornyn last 0.42, bid/ask 0.42/0.43; total event volume/liquidity recorded.",0.56,0.425,0.56,0.425,0.5679513184584178,0.43103448275862066,0.0010141987829614604,0.019999999999999907,0.010000000000000009,0.014999999999999958,8,True,ok,ok,2026-05-18
Polymarket,Texas Republican Senate nominee,2026-05-14 00:41:21,0.6,0.61,0.61,,0.39,0.4,0.39,,0.0,16110280.379905296,155795.7015,0.04,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,Resolves on first announcement from Texas Republican Party or overwhelming credible reporting consensus; market is restricted and fees apply.,"Live Polymarket API snapshot: Paxton last 0.61, bid/ask 0.60/0.61; Cornyn last 0.39, bid/ask 0.39/0.40; total event volume/liquidity recorded.",0.605,0.395,0.605,0.395,0.605,0.395,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,3,True,ok,ok,2026-05-18
Covers/Kalshi,Texas Republican Senate nominee,2026-05-18 08:00:00,,,,0.64,,,,0.38,0.0,,,0.01,https://www.covers.com/politics/texas-senate-odds,Odds/implied probability reference only; verify underlying contract wording before use.,"Covers May 18 odds reference: Paxton 64 cents, Cornyn 38 cents on Kalshi; raw figures retained even though they do not sum to exactly one.",,,0.64,0.38,0.6274509803921569,0.37254901960784315,0.0,,,,0,False,liquidity_unknown,verify_contract_terms,2026-05-18
Polymarket,Texas Republican Senate nominee,2026-05-18 18:56:07,0.62,0.63,0.63,,0.36,0.37,0.37,,0.0015,16175973.1913103,146303.94039,0.04,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,Resolves on first announcement from Texas Republican Party or overwhelming credible reporting consensus; market is restricted and fees apply.,"Live Polymarket API snapshot: Paxton last 0.63, bid/ask 0.62/0.63; Cornyn last 0.37, bid/ask 0.36/0.37; total event volume/liquidity recorded.",0.625,0.365,0.625,0.365,0.6303580433686334,0.3681290973272819,0.0015128593040847202,0.010000000000000009,0.010000000000000009,0.010000000000000009,0,False,ok,ok,2026-05-18
